PropertyID,PropertyType,PropertyMarket,Bedrooms,Bathrooms,SqFt,Amount,SecurityDeposit,ListingDate,AgentName,AgentPhoneNumber,AgentEmail
1,Apartment,Sale,4,3,1037,552751,1062,2023-01-06,Timothy,+1-813-879-3147x092,sotohannah@martinez.biz
2,House,Sale,1,1,2390,52791,2156,2023-02-23,Edward,(892)036-4722x878,jacobcasey@gmail.com
3,Apartment,Sale,1,2,2341,189551,1065,2023-08-26,Stanley,526-705-0427x20046,gballard@lane.com
4,Apartment,Rent,1,2,1420,367126,1209,2021-12-24,Derrick,236.772.3561,cindy56@gmail.com
5,House,Rent,1,3,2955,687137,2982,2023-08-30,Elizabeth,001-781-404-6190x38872,romerojuan@scott.com
6,House,Rent,3,2,1024,619792,2445,2022-10-30,Melissa,+1-902-299-0991x708,stevensmelanie@mcdaniel.info
7,Apartment,Rent,1,1,2029,49915,633,2022-01-08,Robert,590-553-2677,williamanderson@white-trevino.com
8,Condo,Sale,4,3,535,353951,1156,2023-10-29,Victor,(081)546-8325x360,ashleyclark@hotmail.com
9,Apartment,Rent,5,1,1184,744383,1238,2022-11-07,Shawn,+1-870-536-4654x37756,khughes@yahoo.com
10,Apartment,Rent,1,1,519,192762,732,2021-03-31,Michelle,165.762.1674x3468,andersonjulie@griffin-nixon.net
11,Apartment,Rent,3,2,2868,722547,234,2022-11-29,Steven,577-441-8534,christopher43@calderon-thomas.info
12,Apartment,Rent,3,2,899,149943,2705,2022-06-24,Elizabeth,+1-206-078-0739,blackjoshua@yahoo.com
13,House,Rent,1,2,1471,715435,750,2023-01-02,Alexis,(764)419-0628x172,ibarr@gmail.com
14,Apartment,Sale,5,2,2406,537026,2635,2023-05-19,Christine,+1-881-455-2830x4851,lauren09@gmail.com
15,Condo,Rent,1,2,1666,354624,953,2021-02-10,William,719.981.6879,ysparks@jordan-kennedy.com
16,House,Sale,3,3,1615,4800,2539,2023-01-10,Cody,(815)321-8454x52562,brownmelissa@hanna-woods.org
17,Condo,Rent,2,1,1333,726748,2960,2022-05-17,Lisa,227-266-9472x872,nicholas09@quinn.org
18,Condo,Sale,4,1,2323,356554,1542,2023-08-17,Jonathan,001-840-395-7395x495,ilevine@yahoo.com
19,Condo,Rent,3,1,2482,252292,1197,2023-07-18,Teresa,001-012-122-5925x778,vreese@cantrell.com
20,Condo,Rent,1,1,1353,500322,1676,2022-04-06,Stephanie,114-759-5956,michealcrawford@hotmail.com
21,House,Sale,4,2,550,491872,1191,2023-01-02,Linda,863.200.2113x292,mahoneyolivia@perry.org
